上櫃股票個股本益比、殖利率、股價淨值比(依日期查詢)
資料日期:105/06/17
產業類別:全部
股票代號,名稱,本益比,每股股利,殖利率(%),股價淨值比
"4965","商店街","49.21","2.14","2.30","4.16"
"4966","F-譜瑞","19.19","5.02","1.60","3.55"
"4971","F-IET","42.80","2.50","2.34","2.49"
"4972","湯石","9.57","3.00","7.14","1.31"
"4973","廣穎","14.47","1.20","5.18","0.91"
"4974","亞泰","9.30","2.65","9.04","1.08"
"4979","華星光","7.26","3.01","5.52","1.94"
"4987","科誠","8.63","5.00","8.90","1.59"
"4991","F-環宇","21.27","2.50","2.71","3.12"
"4995","晶達","13.85","2.52","7.22","2.17"
"5009","榮剛","14.59","1.00","6.23","0.81"
"5011","久陽","13.72","0.00","0.00","1.40"
"5013","強新","10.45","0.60","2.90","1.14"
"5014","建錩","N/A","0.00","0.00","0.64"
"5015","華祺","7.94","2.00","8.37","1.33"
"5016","松和","13.02","1.20","4.93","1.08"
"5102","富強","17.63","0.70","4.96","1.03"
"5201","凱衛","19.92","1.10","8.91","1.06"
"5202","力新","37.38","0.00","0.00","1.81"
"5205","漢康","N/A","0.00","0.00","8.05"
"5206","坤悅","3.34","0.50","5.13","0.68"
"5209","新鼎","11.93","2.53","6.50","1.71"
"5210","寶碩","N/A","0.00","0.00","0.51"
"5211","蒙恬","27.26","0.59","2.96","1.18"
"5212","凌網","24.87","0.75","3.87","1.86"
"5213","亞昕","14.73","1.10","7.94","0.70"
"5227","F-立凱","N/A","0.00","0.00","3.15"
"5230","雷笛克","15.91","1.60","3.64","1.48"
"5245","智晶","30.44","3.37","2.23","7.46"
"5251","天鉞電","15.71","2.00","6.92","1.20"
"5255","美桀","43.78","0.00","0.00","0.97"
"5263","智崴","82.49","2.50","1.09","3.87"
"5272","笙科","48.91","1.00","2.62","2.15"
"5274","信驊","27.91","8.00","2.61","8.18"
"5276","F-達輝","12.59","2.00","8.58","1.31"
"5278","尚凡","N/A","0.00","0.00","2.19"
"5281","F-大峽","11.85","0.53","1.76","1.56"
"5284","F-jpp","13.16","3.11","4.98","1.78"
"5287","數字","19.58","12.00","4.92","5.16"
"5289","宜鼎","10.88","5.00","4.98","2.60"
"5291","邑昇","43.33","0.30","2.10","0.69"
"5301","寶得利","280.00","0.50","1.79","1.79"
"5302","太欣","N/A","0.00","0.00","0.47"
"5304","鼎創達","N/A","0.00","0.00","1.12"
"5306","桂盟","20.10","2.50","2.08","3.45"
"5309","系統電","4.54","0.00","0.00","1.42"
"5310","天剛","65.00","0.30","1.15","2.05"
"5312","寶島科","12.08","3.60","4.77","1.92"
"5314","世紀","N/A","0.00","0.00","0.96"
"5315","光聯","8.32","0.00","0.00","2.85"
"5317","凱美","N/A","0.00","0.00","1.15"
"5321","友銓","29.06","0.00","0.00","3.09"
"5324","士開","N/A","0.00","0.00","1.36"
"5328","華容","10.94","0.00","0.00","0.57"
"5340","建榮","N/A","0.00","0.00","0.63"
"5344","立衛","N/A","0.00","0.00","0.68"
"5345","天揚","6.68","0.30","3.48","0.91"
"5347","世界","21.03","2.60","4.89","3.02"
"5348","系通","N/A","0.00","0.00","1.54"
"5349","先豐","19.87","2.57","5.50","2.64"
"5351","鈺創","N/A","0.00","0.00","1.22"
"5353","台林","29.86","0.28","2.58","0.80"
"5355","佳總","N/A","0.00","0.00","0.48"
"5356","協益","9.52","4.00","9.69","0.96"
"5364","力麗店","90.00","1.00","3.83","1.27"
"5371","中光電","8.60","1.50","4.89","0.72"
"5381","合正","N/A","0.00","0.00","0.75"
"5383","金利","N/A","0.00","0.00","0.87"
"5384","捷元","32.36","0.50","4.29","0.88"
"5386","青雲","9.82","2.00","7.92","1.84"
"5392","應華","168.57","1.00","2.12","1.07"
"5395","圓方","187.50","0.45","1.50","0.76"
"5398","力瑋","N/A","0.00","0.00","3.88"
"5403","中菲","9.33","2.60","9.51","1.37"
"5410","國眾","8.86","1.22","9.49","1.01"
"5425","台半","11.52","2.50","6.60","1.57"
"5426","振發","16.36","0.60","4.76","0.80"
"5432","達威","15.30","0.00","0.00","1.15"
"5438","東友","7.51","1.20","9.34","0.79"
"5439","高技","16.29","1.50","5.17","1.78"
"5443","均豪","12.72","0.80","4.95","1.13"
"5450","寶聯通","N/A","0.00","0.00","0.83"
"5452","佶優","39.35","0.20","1.64","0.93"
"5455","訊利電","N/A","0.00","0.00","2.07"
"5457","宣德","27.55","0.50","1.78","2.47"
"5460","同協","12.37","0.80","6.53","0.88"
"5464","霖宏","12.66","1.50","9.26","0.93"
"5465","富驊","64.76","0.26","1.94","1.23"
"5468","凱鈺","N/A","0.00","0.00","0.90"
"5474","聰泰","9.62","4.20","6.87","2.85"
"5475","德宏","N/A","0.00","0.00","0.41"
"5478","智冠","28.96","1.50","2.24","1.52"
"5480","統盟","9.72","0.50","4.85","0.49"
"5481","華韡","N/A","0.00","0.00","1.43"
"5483","中美晶","39.02","1.50","4.18","0.88"
"5487","通泰","14.37","1.70","7.44","1.03"
"5488","松普","N/A","0.00","0.00","0.51"
"5489","彩富","12.41","3.50","7.46","2.12"
"5490","同亨","11.91","4.50","7.44","3.02"
"5491","連展","N/A","0.00","0.00","0.43"
"5493","三聯","10.14","2.20","6.95","1.49"
"5498","凱崴","N/A","0.00","0.00","0.69"
"5508","永信建","14.22","2.37","8.42","1.42"
"5511","德昌","13.38","0.60","2.64","1.03"
"5512","力麒","60.13","0.50","5.54","0.49"
"5514","三豐","76.00","0.00","0.00","0.72"
"5516","雙喜","N/A","0.00","0.00","0.89"
"5520","力泰","14.42","1.50","5.44","1.04"
"5523","豐謙","N/A","0.00","0.00","0.74"
"5529","志嘉","N/A","0.00","0.00","1.00"
"5530","龍巖","21.46","3.60","6.61","2.50"
"5536","聖暉","8.69","6.00","7.45","1.27"
"5543","F-崇佑","15.45","0.00","0.00","1.11"
"5601","台聯櫃","107.71","0.50","1.93","1.21"
"5603","陸海","9.65","1.10","7.91","0.91"
"5604","中連貨","9.75","3.20","8.73","1.61"
"5609","中菲行","13.73","1.02","5.90","1.09"
